Id,Title,Author,Genre,Year,Description,Price,Condition,SellerName,SellerEmail,CourseCode,Professor,IsAvailable,DatePosted,ImageUrl
1,Calculus: Early Transcendentals,James Stewart,Textbook,2021,Comprehensive calculus textbook with practice problems and solutions. Used for MATH 125.,85,Good,alex Student,alex.johnson@ua.edu,MATH 125,Dr. Smith,True,2025-09-10 14:09:37,
2,Introduction to Psychology,David Myers,Psychology,2021,"Psychology textbook in excellent condition. Barely used, no highlighting.",120.00,Excellent,Sarah Williams,sarah.williams@ua.edu,PSY 101,Dr. Williams,True,2025-09-13 14:09:37,
3,Principles of Economics,N. Gregory Mankiw,Economics,2022,Micro and macroeconomics textbook. Some highlighting but in good condition.,95.00,Good,Alex Johnson,alex.johnson@ua.edu,EC 110,Dr. Brown,True,2025-09-08 14:09:37,
4,Organic Chemistry,Paula Yurkanis Bruice,Chemistry,2020,Organic chemistry textbook with study guide. Used for CHEM 232.,150.00,Fair,Sarah Williams,sarah.williams@ua.edu,CHEM 232,Dr. Johnson,True,2025-09-14 14:09:37,
5,American Government,"Ginsberg, Lowi, Weir",Political Science,2021,Political science textbook covering American government and politics.,75.00,Good,Alex Johnson,alex.johnson@ua.edu,POL 101,Dr. Anderson,True,2025-09-12 14:09:37,
6,Fundamentals of Physics,"Halliday, Resnick, Walker",Physics,2020,Physics textbook with problem solutions manual included.,110.00,Excellent,Sarah Williams,sarah.williams@ua.edu,PH 101,Dr. Taylor,True,2025-09-11 14:09:37,
7,Introduction to Algorithms,Thomas H. Cormen,Computer Science,2021,Classic algorithms textbook. Some wear but all pages intact.,90.00,Good,Michael Davis,michael.davis@ua.edu,CS 483,Dr. Davis,True,2025-09-15 14:09:37,
8,Linear Algebra and Its Applications,David C. Lay,Mathematics,2020,Linear algebra textbook with online access code included.,80.00,Excellent,Alex Johnson,alex.johnson@ua.edu,MATH 237,Dr. Wilson,True,2025-09-09 14:09:37,
9,Microbiology: An Introduction,Gerard J. Tortora,Biology,2022,Microbiology textbook with lab manual. Used for BIO 200.,130.00,Good,Emma Martinez,emma.martinez@ua.edu,BIO 200,Dr. Martinez,True,2025-09-16 14:09:37,
10,Financial Accounting,Jerry J. Weygandt,Business,2021,Accounting textbook with practice problems and solutions.,105.00,Fair,Sarah Williams,sarah.williams@ua.edu,AC 210,Dr. Thompson,True,2025-09-07 14:09:37,
11,World History: Patterns of Interaction,McDougal Littell,History,2020,World history textbook covering ancient to modern times.,70.00,Good,Michael Davis,michael.davis@ua.edu,HY 101,Dr. Garcia,True,2025-09-18 14:09:37,
12,General Chemistry,John E. McMurry,Chemistry,2021,General chemistry textbook with online homework access.,125.00,Excellent,Emma Martinez,emma.martinez@ua.edu,CHEM 101,Dr. Lee,True,2025-09-06 14:09:37,
13,Statistics for Business and Economics,Paul Newbold,Business,2022,Statistics textbook with Excel integration examples.,95.00,Good,Alex Johnson,alex.johnson@ua.edu,ST 260,Dr. White,True,2025-09-19 14:09:37,
14,Introduction to Sociology,Anthony Giddens,Sociology,2020,Sociology textbook in good condition with minimal highlighting.,85.00,Good,Sarah Williams,sarah.williams@ua.edu,SOC 101,Dr. Harris,True,2025-09-05 14:09:37,
15,Discrete Mathematics and Its Applications,Kenneth H. Rosen,Mathematics,2021,Discrete math textbook with solutions manual.,100.00,Excellent,Michael Davis,michael.davis@ua.edu,MATH 301,Dr. Clark,True,2025-09-20 14:09:37,
16,Marketing: An Introduction,Gary Armstrong,Business,2022,Marketing textbook with case studies and examples.,90.00,Good,Emma Martinez,emma.martinez@ua.edu,MKT 300,Dr. Lewis,True,2025-09-04 14:09:37,
17,Human Anatomy & Physiology,Elaine N. Marieb,Biology,2020,Anatomy textbook with full-color illustrations and study guide.,140.00,Fair,Alex Johnson,alex.johnson@ua.edu,BIO 103,Dr. Rodriguez,True,2025-09-21 14:09:37,
18,Database System Concepts,Abraham Silberschatz,Computer Science,2021,Database textbook with SQL examples and exercises.,115.00,Good,Sarah Williams,sarah.williams@ua.edu,CS 481,Dr. Moore,True,2025-09-03 14:09:37,
19,Art History,Marilyn Stokstad,Art,2022,Comprehensive art history textbook with high-quality images.,110.00,Excellent,Michael Davis,michael.davis@ua.edu,ARH 101,Dr. Jackson,True,2025-09-22 14:09:37,
20,Managerial Accounting,Ray H. Garrison,Business,2020,Managerial accounting textbook with Excel templates.,100.00,Good,Emma Martinez,emma.martinez@ua.edu,AC 211,Dr. Young,True,2025-09-02 14:09:37,
