Id,Username,Email,PasswordHash,FirstName,LastName,DateCreated,IsActive,AverageRating,RatingCount
1,admin,admin@crimson.ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Admin,User,2025-09-20 17:17:41,True,4.2,47
2,alex.johnson,alex.johnson@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Alex,Johnson,2025-09-01 10:30:00,True,4.1,52
3,sarah.williams,sarah.williams@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Sarah,Williams,2025-09-02 14:15:00,True,4.5,48
4,michael.davis,michael.davis@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Michael,Davis,2025-09-03 09:45:00,True,3.8,51
5,emma.martinez,emma.martinez@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Emma,Martinez,2025-09-04 16:20:00,True,4.3,49
6,jessica.brown,jessica.brown@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Jessica,Brown,2025-09-05 11:10:00,True,4.0,46
7,tyler.wilson,tyler.wilson@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Tyler,Wilson,2025-09-06 13:25:00,True,3.9,50
8,olivia.garcia,olivia.garcia@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Olivia,Garcia,2025-09-07 08:40:00,True,4.4,53
9,ethan.miller,ethan.miller@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Ethan,Miller,2025-09-08 15:55:00,True,3.7,45
10,sophia.anderson,sophia.anderson@ua.edu,JAvlGPq9JyTdtvBO6x2llnRI1+gxwIyPqCKAn3THIKk=,Sophia,Anderson,2025-09-09 12:30:00,True,4.6,54
